i|n|c|p|s|k|t
100|Curcumins|||No, No GSFA provision found|0|
100(i)|Curcumin|Colour|colour|Yes, Specific provision|81|
100(ii)|Turmeric|Colour|colour|No, No GSFA provision found|0|
101|Riboflavins|||No, No GSFA provision found|0|
101(i)|Riboflavin, synthetic|Colour|colour|Yes, Specific provision|13|Yes – Table 3 general use at GMP; subject to Table 3 conditions and exclusions.
101(ii)|Riboflavin 5’-phosphate sodium|Colour|colour|Yes, Specific provision|13|Yes – Table 3 general use at GMP; subject to Table 3 conditions and exclusions.
101(iii)|Riboflavin from Bacillus subtilis|Colour|colour|Yes, Specific provision|13|Yes – Table 3 general use at GMP; subject to Table 3 conditions and exclusions.
101(iv)|Riboflavin from Ashbya gossypii|Colour|colour|Yes, Specific provision|13|Yes – Table 3 general use at GMP; subject to Table 3 conditions and exclusions.
102|Tartrazine|Colour|tcolour|Yes, Specific provision|65|
103|Alkanet|Colour|colour|No, No GSFA provision found|0|
104|Quinoline yellow 4|Colour|colour|Yes, Specific provision|31|
105|Carthamus yellow|Colour|colour|No, No GSFA provision found|0|
107|Yellow 2G|Colour|colour|No, No GSFA provision found|0|
110|Sunset yellow FCF|Colour|colour|Yes, Specific provision|63|
120|Carmines|Colour|colour|Yes, Specific provision|76|
121|Citrus red No. 2|Colour|colour|No, No GSFA provision found|0|
122|Azorubine (Carmoisine)|Colour|colour|Yes, Specific provision|44|
123|Amaranth|Colour|colour|Yes, Specific provision|12|
124|Ponceau 4R (Cochineal red A)|Colour|colour|Yes, Specific provision|50|
125|Ponceau SX|Colour|colour|No, No GSFA provision found|0|
127|Erythrosine|Colour|colour|Yes, Specific provision|8|
129|Allura red AC|Colour|colour|Yes, Specific provision|52|
130|Manascorubin|Colour|colour|No, No GSFA provision found|0|
131|Patent blue V|Colour|colour|No, No GSFA provision found|0|
132|Indigotine (Indigo carmine)|Colour|colour|Yes, Specific provision|50|
133|Brilliant blue FCF|Colour|colour|Yes, Specific provision|65|
134|Spirulina extract|Colour|colour|No, No GSFA provision found|0|Yes – Table 3 general use at GMP; subject to Table 3 conditions and exclusions.
140|Chlorophylls|Colour|colour|Yes, Specific provision|7|Yes – Table 3 general use at GMP; subject to Table 3 conditions and exclusions.
141|Chlorophylls and chlorophyllins, copper complexes|||No, No GSFA provision found|0|
141(i)|Chlorophylls, copper complexes|Colour|colour|Yes, Specific provision|57|
141(ii)|Chlorophyllins, copper complexes, potassium and sodium salts|Colour|colour|Yes, Specific provision|57|
142|Green S|Colour|colour|No, No GSFA provision found|0|
143|Fast Green FCF|Colour|colour|Yes, Specific provision|34|
150|Caramels|||No, No GSFA provision found|0|
150a|Caramel I – plain caramel|Colour|colour|Yes, Specific provision|11|Yes – Table 3 general use at GMP; subject to Table 3 conditions and exclusions.
150b|Caramel II – sulphite caramel|Colour|colour|Yes, Specific provision|60|
150c|Caramel III – ammonia caramel|Colour|colour|Yes, Specific provision|85|
150d|Caramel IV – sulphite ammonia caramel|Colour|colour|Yes, Specific provision|75|
151|Brilliant black (Black PN)|Colour|colour|Yes, Specific provision|29|
152|Carbon black (hydrocarbon)|Colour|colour|No, No GSFA provision found|0|
153|Vegetable carbon|Colour|colour|No, No GSFA provision found|0|
